"book_title","author","book_price","genre"
"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)","Sarah J. Maas","8.89","Fantasy, Romance, Young Adult, Fiction, New Adult, Fae"
"House of Flame and Shadow (Crescent City, 3)","Sarah J. Maas","18.48","Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy"
"Murtagh: The World of Eragon (The Inheritance Cycle)","Christopher Paolini","22.48","Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy"
"A Court of Mist and Fury (A Court of Thorns and Roses, 2)","Sarah J. Maas","12.79","Fantasy, Romance, Young Adult, New Adult, Fiction"
"Harry Potter Paperback Box Set (Books 1-7)","J.K. Rowling","45.22","Childrens, Young Adult, Fantasy, Science Fiction &amp; Horror"
"Hatchet","Gary Paulsen","5.14"," young adult novel, adventure novel, survival story"
